datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;truth
2024-02-29 14:57:43.965430;ff:ff:ff:ff:ff:ff;3e:1d:4c:2e:25:d7;;1;-90;28;197;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:44.278718;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-76;29;1338;2437;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:44.320759;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-75;30;1340;2442;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:44.349108;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-74;31;1341;2442;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:44.389951;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-75;32;1343;2447;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:44.405672;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-76;33;1344;2447;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:44.424976;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-77;34;1345;2452;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:44.448807;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-78;35;1346;2452;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:44.560521;ff:ff:ff:ff:ff:ff;b2:53:89:12:a2:ce;;1;-78;36;829;2462;;;[0, 1, 50, 3, 45, 127, 255];[];5.0
2024-02-29 14:57:44.581095;ff:ff:ff:ff:ff:ff;b2:53:89:12:a2:ce;;1;-79;37;2489;2462;;;[0, 1, 50, 3, 45, 127, 255];[];5.0
2024-02-29 14:57:45.729627;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-74;38;99;2417;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:45.750090;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-74;39;100;2417;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:45.771887;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-86;40;101;2422;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:45.791375;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-80;41;102;2422;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:45.852891;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-80;42;105;2427;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:51.226577;ff:ff:ff:ff:ff:ff;02:b0:d0:b4:4e:97;;1;-65;43;3652;2417;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:51.461796;ff:ff:ff:ff:ff:ff;02:b0:d0:b4:4e:97;;1;-60;44;3657;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:51.878317;ff:ff:ff:ff:ff:ff;22:70:b1:38:de:76;;1;-92;45;375;2427;;;[0, 1, 50, 3, 45, 127, 255];[];5.0
2024-02-29 14:57:54.589027;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-55;46;135;2422;;;[0, 1, 50, 45, 127, 221];[5271450];5.0
2024-02-29 14:57:54.618009;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-52;47;136;2427;;;[0, 1, 50, 45, 127, 221];[5271450];5.0
2024-02-29 14:57:54.638824;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-54;48;137;2427;;;[0, 1, 50, 45, 127, 221];[5271450];5.0
2024-02-29 14:57:55.144823;ff:ff:ff:ff:ff:ff;8e:f1:c3:78:4a:0b;;1;-64;49;3549;2422;;;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:56.269688;ff:ff:ff:ff:ff:ff;62:cc:d2:f8:37:cc;;1;-73;50;3800;2427;;;[0, 1, 50, 3, 45, 127];[];5.0
2024-02-29 14:57:59.537184;ff:ff:ff:ff:ff:ff;a6:df:11:ff:aa:3c;;1;-94;51;1852;2422;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];5.0
2024-02-29 14:57:59.581000;ff:ff:ff:ff:ff:ff;a6:df:11:ff:aa:3c;;1;-90;52;1854;2427;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];5.0
2024-02-29 14:57:59.750700;ff:ff:ff:ff:ff:ff;e6:69:52:ad:69:1f;;1;-89;53;486;2442;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:59.798459;ff:ff:ff:ff:ff:ff;e6:69:52:ad:69:1f;;1;-90;54;488;2447;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:59.847638;ff:ff:ff:ff:ff:ff;e6:69:52:ad:69:1f;;1;-88;55;491;2452;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:59.935894;ff:ff:ff:ff:ff:ff;e6:69:52:ad:69:1f;;1;-95;56;495;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:58:01.388240;ff:ff:ff:ff:ff:ff;ce:7d:20:47:7b:8c;;1;-89;57;2855;2442;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:04.426611;ff:ff:ff:ff:ff:ff;86:a9:27:36:de:41;;1;-59;58;0;2417;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];11.0
2024-02-29 14:58:04.882602;ff:ff:ff:ff:ff:ff;fe:89:f6:e6:08:89;;1;-73;59;2169;2462;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:04.947985;ff:ff:ff:ff:ff:ff;5a:55:4d:ae:90:42;;1;-76;60;305;2462;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:04.953168;ff:ff:ff:ff:ff:ff;5a:55:4d:ae:90:42;;1;-74;61;2490;2462;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:04.982779;ff:ff:ff:ff:ff:ff;6e:e3:09:33:80:43;;1;-71;62;196;2417;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:04.997986;ff:ff:ff:ff:ff:ff;6e:e3:09:33:80:43;;1;-71;63;197;2417;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
2024-02-29 14:58:05.598514;ff:ff:ff:ff:ff:ff;86:a9:27:36:de:41;;1;-68;64;7;2422;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];11.0
2024-02-29 14:58:07.021342;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-66;65;2482;2457;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:07.041896;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-68;66;2483;2457;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:07.086843;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-77;67;2485;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:07.178981;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-78;68;2489;2417;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:07.184972;ff:ff:ff:ff:ff:ff;82:0e:6b:fc:56:d5;;1;-52;69;816;2417;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255];[];11.0
2024-02-29 14:58:07.205910;ff:ff:ff:ff:ff:ff;82:0e:6b:fc:56:d5;;1;-55;70;817;2417;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255];[];11.0
2024-02-29 14:58:07.928872;ff:ff:ff:ff:ff:ff;74:da:38:ef:b4:c5;Edimax Technology Co. Ltd.;0;-90;71;340;2437;;;[0, 1, 50, 45, 70, 127];[];11.0
2024-02-29 14:58:07.937267;ff:ff:ff:ff:ff:ff;74:da:38:ef:b4:c5;Edimax Technology Co. Ltd.;0;-89;72;342;2437;;;[0, 1, 50, 45, 70, 127];[];11.0
2024-02-29 14:58:07.940371;ff:ff:ff:ff:ff:ff;74:da:38:ef:b4:c5;Edimax Technology Co. Ltd.;0;-91;73;343;2437;;;[0, 1, 50, 45, 70, 127];[];11.0
