datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2024-02-15 15:03:06.769907;ff:ff:ff:ff:ff:ff;9e:49:fa:07:ff:72;;1;-77;0;740;2417;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];15.0
2024-02-15 15:03:07.989426;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-58;1;39;2432;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:08.009646;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-56;2;40;2432;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:08.033033;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-54;3;41;2437;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:08.153688;ff:ff:ff:ff:ff:ff;40:ec:99:f9:34:a6;Intel Corporate;0;-56;4;52;2447;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:08.343737;ff:ff:ff:ff:ff:ff;40:ec:99:f9:34:a6;Intel Corporate;0;-50;5;61;2462;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:08.361471;ff:ff:ff:ff:ff:ff;40:ec:99:f9:34:a6;Intel Corporate;0;-47;6;62;2462;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:09.682811;ff:ff:ff:ff:ff:ff;ea:67:f3:56:45:fb;;1;-73;7;317;2437;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];15.0
2024-02-15 15:03:13.101277;ff:ff:ff:ff:ff:ff;40:ec:99:1f:3e:75;Intel Corporate;0;-49;8;3;2447;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:17.496257;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-52;9;57;2447;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:17.660976;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-53;10;66;2462;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:17.694899;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-51;11;67;2462;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:18.249207;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-56;12;645;2462;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:18.284426;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-61;13;646;2417;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
2024-02-15 15:03:18.573735;ff:ff:ff:ff:ff:ff;40:ec:99:1f:3e:75;Intel Corporate;0;-50;14;22;2442;;;[0, 1, 50, 45, 127, 221];[5271450];15.0
