datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2024-03-31 00:01:08.688771;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-90;0;2151;2437;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:01:08.690879;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-91;1;2152;2437;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:01:37.029214;ff:ff:ff:ff:ff:ff;04:ea:56:39:c1:7a;Intel Corporate;0;-95;2;3196;2462;;;[0, 1, 50, 45, 127, 221];[5271450];0.0
2024-03-31 00:02:12.834160;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-91;3;3348;2417;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:02:12.874574;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-95;4;3350;2422;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:02:37.408790;ff:ff:ff:ff:ff:ff;14:85:7f:e4:78:c0;Intel Corporate;0;-88;5;3599;2452;;;[0, 1, 50, 45, 127, 255, 255, 221];[5271450];0.0
2024-03-31 00:02:37.424141;ff:ff:ff:ff:ff:ff;14:85:7f:e4:78:c0;Intel Corporate;0;-91;6;3600;2457;;;[0, 1, 50, 45, 127, 255, 255, 221];[5271450];0.0
2024-03-31 00:02:53.393242;ff:ff:ff:ff:ff:ff;84:16:f9:f2:da:8b;TP-LINK TECHNOLOGIES CO.,LTD.;0;-94;7;1168;2457;;;[0, 1, 50];[];0.0
2024-03-31 00:02:53.432960;ff:ff:ff:ff:ff:ff;84:16:f9:f2:da:8b;TP-LINK TECHNOLOGIES CO.,LTD.;0;-93;8;1169;2462;;;[0, 1, 50];[];0.0
2024-03-31 00:02:53.455146;ff:ff:ff:ff:ff:ff;84:16:f9:f2:da:8b;TP-LINK TECHNOLOGIES CO.,LTD.;0;-91;9;1170;2462;;;[0, 1, 50];[];0.0
2024-03-31 00:03:08.548549;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-91;10;2193;2432;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:03:09.392288;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-93;11;2205;2462;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:03:09.394429;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-91;12;2206;2462;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:04:08.423527;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-91;13;2213;2427;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:04:08.425695;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-91;14;2214;2427;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:04:09.414403;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-93;15;2227;2462;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:04:13.908873;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-93;16;3390;2422;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:04:13.950546;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-91;17;3392;2427;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:04:13.992024;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-91;18;3394;2432;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:04:37.504087;ff:ff:ff:ff:ff:ff;14:85:7f:e4:78:c0;Intel Corporate;0;-92;19;3648;2417;;;[0, 1, 50, 45, 127, 255, 255, 221];[5271450];0.0
2024-03-31 00:04:37.530958;ff:ff:ff:ff:ff:ff;14:85:7f:e4:78:c0;Intel Corporate;0;-90;20;3650;2422;;;[0, 1, 50, 45, 127, 255, 255, 221];[5271450];0.0
2024-03-31 00:05:08.409881;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-92;21;2235;2427;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:05:08.412024;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-93;22;2236;2427;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:06:08.280302;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-89;23;2255;2422;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:06:08.282456;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-90;24;2256;2422;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:06:14.832373;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-90;25;3429;2417;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:06:14.873243;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-87;26;3431;2422;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:08:08.146113;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-90;27;2297;2417;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:08:08.148251;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-87;28;2298;2417;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:08:08.991072;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-89;29;2309;2447;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:08:08.993235;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-91;30;2310;2447;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:08:15.869697;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-89;31;3470;2417;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:08:15.911997;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-91;32;3472;2422;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:08:15.954843;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-92;33;3474;2427;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:08:16.016536;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-91;34;3477;2432;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:08:16.271678;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-95;35;3489;2462;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-31 00:08:37.640605;ff:ff:ff:ff:ff:ff;14:85:7f:e4:78:c0;Intel Corporate;0;-87;36;3768;2452;;;[0, 1, 50, 45, 127, 255, 255, 221];[5271450];0.0
2024-03-31 00:10:08.846507;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-90;37;2352;2442;;;[0, 1, 50, 221, 45, 127];[20722];0.0
2024-03-31 00:10:16.912481;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-91;38;3513;2422;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
