datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2024-04-04 14:51:30.289484;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-93;0;1145;2442;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:30.294969;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-92;1;1147;2442;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:30.312875;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-91;2;1148;2442;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:30.664669;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-94;3;1185;2422;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:30.665670;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-93;4;1186;2422;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:30.939564;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-92;5;1212;2452;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:30.940515;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-90;6;1213;2452;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:30.941476;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-91;7;1214;2452;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:30.942461;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-92;8;1215;2452;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:31.009190;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-92;9;1220;2457;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:31.010092;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-92;10;1221;2457;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:31.011033;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-90;11;1222;2457;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:31.013850;ff:ff:ff:ff:ff:ff;00:45:e2:24:fb:71;CyberTAN Technology Inc.;0;-92;12;1223;2457;;;[0, 1, 50, 45, 70, 127];[];0.0
2024-04-04 14:51:34.085413;ff:ff:ff:ff:ff:ff;aa:7f:e6:92:a0:d5;;1;-82;13;1404;2437;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-04-04 14:51:34.128959;ff:ff:ff:ff:ff:ff;aa:7f:e6:92:a0:d5;;1;-85;14;1405;2442;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-04-04 14:51:34.191332;ff:ff:ff:ff:ff:ff;aa:7f:e6:92:a0:d5;;1;-84;15;1407;2447;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-04-04 14:51:34.212945;ff:ff:ff:ff:ff:ff;aa:7f:e6:92:a0:d5;;1;-84;16;1408;2447;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
