datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2024-02-09 00:26:57.971214;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-85;0;262;2432;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];3.0
2024-02-09 00:27:02.227297;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-91;1;257;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];3.0
2024-02-09 00:27:03.459036;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-91;2;3867;2432;;;[0, 1, 50, 221, 45, 127];[20722];3.0
2024-02-09 00:27:04.303979;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-93;3;3879;2462;;;[0, 1, 50, 221, 45, 127];[20722];3.0
2024-02-09 00:27:04.306129;ff:ff:ff:ff:ff:ff;9c:b7:0d:cf:28:7c;Liteon Technology Corporation;0;-92;4;3880;2462;;;[0, 1, 50, 221, 45, 127];[20722];3.0
2024-02-09 00:27:09.495519;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-88;5;261;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];3.0
2024-02-09 00:27:27.084063;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-85;6;260;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];3.0
2024-02-09 00:27:30.431391;ff:ff:ff:ff:ff:ff;68:ec:c5:24:03:44;Intel Corporate;0;-84;7;3218;2432;;;[0, 1, 50, 45];[];3.0
2024-02-09 00:27:33.042657;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-84;8;460;2417;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];3.0
2024-02-09 00:27:33.192218;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-86;9;467;2432;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];3.0
2024-02-09 00:27:33.213992;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-88;10;468;2437;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];3.0
2024-02-09 00:27:33.234272;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-88;11;469;2437;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];3.0
