datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2023-11-12 00:12:48.764786;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-71;0;2515;2462;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:12:51.682801;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-86;1;258;2422;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:12:52.298809;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;2;262;2432;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:12:58.367579;ff:ff:ff:ff:ff:ff;68:ec:c5:24:03:44;Intel Corporate;0;-84;3;1113;2432;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:13:03.232793;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-90;4;258;2422;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:13:13.619693;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-87;5;256;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:13:20.844564;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-89;6;261;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:13:26.959882;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-91;7;261;2432;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:13:48.791735;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-82;8;2536;2417;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:13:48.807598;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-80;9;2537;2417;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:13:48.839020;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-82;10;2538;2422;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:14:00.440902;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;11;261;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:14:24.153642;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-89;12;260;2432;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:14:48.785888;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-82;13;2562;2417;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:14:48.831482;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-83;14;2564;2422;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:14:48.847799;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-84;15;2565;2427;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:14:53.254535;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-93;16;261;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:14:58.412339;ff:ff:ff:ff:ff:ff;68:ec:c5:24:03:44;Intel Corporate;0;-88;17;1157;2447;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:15:37.795899;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-89;18;260;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:15:48.152214;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;19;256;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:15:48.882239;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-81;20;2592;2432;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:15:48.903225;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-77;21;2593;2437;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:15:49.336253;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;22;259;2422;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:15:58.297497;ff:ff:ff:ff:ff:ff;68:ec:c5:24:03:44;Intel Corporate;0;-89;23;1170;2442;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:15:58.449632;ff:ff:ff:ff:ff:ff;68:ec:c5:24:03:44;Intel Corporate;0;-86;24;1178;2457;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:16:12.989903;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-88;25;261;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:16:28.914593;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-76;26;2864;2422;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:16:28.939154;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-75;27;2865;2427;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:16:28.962880;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-76;28;2866;2427;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:16:29.118537;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-76;29;2869;2442;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:16:30.041518;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-93;30;260;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:16:38.784830;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-89;31;608;2417;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:38.826600;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-85;32;610;2422;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:38.868066;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-86;33;612;2427;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:38.910813;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-88;34;614;2432;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:38.931051;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-89;35;615;2432;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:38.952882;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-88;36;616;2437;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:38.973445;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-89;37;617;2437;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:38.994917;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-91;38;618;2442;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:39.015181;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-91;39;619;2442;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:39.144879;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-91;40;625;2457;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2023-11-12 00:16:48.903009;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-75;41;2619;2442;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:16:48.918634;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-72;42;2620;2442;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:16:48.943223;ff:ff:ff:ff:ff:ff;84:7b:57:58:37:64;Intel Corporate;0;-70;43;2621;2447;;;[0, 1, 50, 45, 127, 255, 221];[5271450];0.0
2023-11-12 00:16:58.461194;ff:ff:ff:ff:ff:ff;68:ec:c5:24:03:44;Intel Corporate;0;-86;44;1198;2462;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:17:03.618538;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-94;45;259;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:17:09.658723;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-89;46;261;2427;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:17:21.167081;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-88;47;258;2422;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-11-12 00:17:28.809125;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-76;48;2882;2417;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:17:28.938853;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-78;49;2884;2432;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:17:28.963289;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-74;50;2885;2432;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:17:28.988009;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-73;51;2886;2437;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:17:29.012583;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-74;52;2887;2437;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:17:29.118250;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-76;53;2888;2447;;;[0, 1, 50, 45];[];0.0
2023-11-12 00:17:29.143661;ff:ff:ff:ff:ff:ff;88:78:73:8d:98:75;Intel Corporate;0;-79;54;2889;2452;;;[0, 1, 50, 45];[];0.0
