datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy;n_devices
2025-03-27 12:51:33.071331;ff:ff:ff:ff:ff:ff;b6:8c:23:b8:e1:1d;;1;-94;0;2550;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:51:39.706324;ff:ff:ff:ff:ff:ff;92:8e:fc:c6:45:4f;;1;-82;1;3844;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:51:42.984353;ff:ff:ff:ff:ff:ff;92:8e:fc:c6:45:4f;;1;-90;2;3874;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:51:44.934622;ff:ff:ff:ff:ff:ff;d6:79:db:78:4e:eb;;1;-71;3;1520;2417;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-03-27 12:51:44.956057;ff:ff:ff:ff:ff:ff;d6:79:db:78:4e:eb;;1;-72;4;1521;2417;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-03-27 12:51:50.277605;ff:ff:ff:ff:ff:ff;92:8e:fc:c6:45:4f;;1;-87;5;3879;2457;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:51:50.751127;ff:ff:ff:ff:ff:ff;92:8e:fc:c6:45:4f;;1;-89;6;3899;2447;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:51:50.780709;ff:ff:ff:ff:ff:ff;92:8e:fc:c6:45:4f;;1;-86;7;3900;2452;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:51:51.037955;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-86;8;2714;2422;;;[0, 1, 50, 3, 127, 221];[5271450];0.0;nan
2025-03-27 12:51:51.038758;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-85;9;2715;2422;;;[0, 1, 50, 3, 127, 221];[5271450];0.0;nan
2025-03-27 12:51:51.238682;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-73;10;2720;2442;;;[0, 1, 50, 3, 127, 221];[5271450];0.0;nan
2025-03-27 12:51:55.470539;ff:ff:ff:ff:ff:ff;ee:82:8f:8b:87:68;;1;-76;11;1698;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:51:55.490835;ff:ff:ff:ff:ff:ff;ee:82:8f:8b:87:68;;1;-78;12;1699;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:51:55.819106;ff:ff:ff:ff:ff:ff;ee:82:8f:8b:87:68;;1;-88;13;1713;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:52:00.110348;ff:ff:ff:ff:ff:ff;de:ef:de:9a:f0:da;;1;-92;14;647;2447;;;[0, 1, 50, 3, 45, 127, 255, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-03-27 12:52:02.558165;ff:ff:ff:ff:ff:ff;96:47:44:ca:a7:ed;;1;-79;15;3042;2417;;;[0, 1, 50, 3, 45, 127, 255, 255, 221, 221, 221, 221];[36940, 20722, 4120, 5271450];0.0;nan
2025-03-27 12:52:04.567782;ff:ff:ff:ff:ff:ff;86:0c:e3:9e:2e:99;;1;-66;16;2777;2457;;;[0, 1, 50, 3, 45, 127, 255, 255, 255, 221, 221, 221, 221];[36940, 20722, 4120, 5271450];0.0;nan
2025-03-27 12:52:04.583140;ff:ff:ff:ff:ff:ff;86:0c:e3:9e:2e:99;;1;-73;17;2778;2457;;;[0, 1, 50, 3, 45, 127, 255, 255, 255, 221, 221, 221, 221];[36940, 20722, 4120, 5271450];0.0;nan
2025-03-27 12:52:04.643798;ff:ff:ff:ff:ff:ff;86:0c:e3:9e:2e:99;;1;-71;18;2779;2462;;;[0, 1, 50, 3, 45, 127, 255, 255, 255, 221, 221, 221, 221];[36940, 20722, 4120, 5271450];0.0;nan
2025-03-27 12:52:04.684090;ff:ff:ff:ff:ff:ff;86:0c:e3:9e:2e:99;;1;-71;19;2782;2462;;;[0, 1, 50, 3, 45, 127, 255, 255, 255, 221, 221, 221, 221];[36940, 20722, 4120, 5271450];0.0;nan
2025-03-27 12:52:21.260788;ff:ff:ff:ff:ff:ff;dc:fb:48:dd:c6:0b;Intel Corporate;0;-48;20;104;2417;;;[0, 1, 50, 45, 127, 221];[5271450];0.0;nan
