datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2024-03-14 13:54:07.533395;ff:ff:ff:ff:ff:ff;dc:fb:48:de:86:8d;Intel Corporate;0;-43;0;1952;2447;;;[0, 1, 50, 45, 127, 221];[5271450];17.0
2024-03-14 13:54:07.550485;ff:ff:ff:ff:ff:ff;dc:fb:48:de:86:8d;Intel Corporate;0;-43;1;1953;2447;;;[0, 1, 50, 45, 127, 221];[5271450];17.0
2024-03-14 13:54:11.123259;ff:ff:ff:ff:ff:ff;e2:6d:f2:2c:f2:f2;;1;-63;2;359;2422;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];17.0
2024-03-14 13:54:11.135843;ff:ff:ff:ff:ff:ff;e2:6d:f2:2c:f2:f2;;1;-60;3;360;2422;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];17.0
2024-03-14 13:54:11.396262;ff:ff:ff:ff:ff:ff;e2:6d:f2:2c:f2:f2;;1;-67;4;379;2447;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];17.0
2024-03-14 13:54:11.406101;ff:ff:ff:ff:ff:ff;e2:6d:f2:2c:f2:f2;;1;-62;5;380;2447;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];17.0
2024-03-14 13:54:11.519984;ff:ff:ff:ff:ff:ff;e2:6d:f2:2c:f2:f2;;1;-65;6;385;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];17.0
2024-03-14 13:54:11.529703;ff:ff:ff:ff:ff:ff;e2:6d:f2:2c:f2:f2;;1;-62;7;386;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];17.0
2024-03-14 13:54:11.547538;ff:ff:ff:ff:ff:ff;e2:6d:f2:2c:f2:f2;;1;-62;8;387;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];17.0
2024-03-14 13:54:15.388301;ff:ff:ff:ff:ff:ff;dc:fb:48:55:d5:78;Intel Corporate;0;-55;9;1172;2462;;;[0, 1, 50, 45, 127, 221];[5271450];17.0
