datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2024-03-15 12:30:11.048203;ff:ff:ff:ff:ff:ff;da:a1:19:e7:55:dc;Google, Inc.;1;-86;0;1609;2462;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 221];[20722, 5271450];0.0
2024-03-15 12:30:12.804810;ff:ff:ff:ff:ff:ff;a8:9c:ed:18:9b:45;Xiaomi Communications Co Ltd;0;-88;1;1335;2417;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-03-15 12:30:12.825905;ff:ff:ff:ff:ff:ff;a8:9c:ed:18:9b:45;Xiaomi Communications Co Ltd;0;-85;2;1336;2417;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-03-15 12:30:28.017467;ff:ff:ff:ff:ff:ff;04:ea:56:39:c1:7a;Intel Corporate;0;-90;3;553;2452;;;[0, 1, 50, 45, 127, 221];[5271450];0.0
2024-03-15 12:30:44.576543;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-82;4;1618;2457;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-15 12:30:44.617466;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-79;5;1620;2462;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-15 12:30:44.640237;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-80;6;1621;2462;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-15 12:31:10.966708;ff:ff:ff:ff:ff:ff;da:a1:19:9d:ec:f9;Google, Inc.;1;-87;7;1623;2457;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 221];[20722, 5271450];0.0
2024-03-15 12:31:23.384042;ff:ff:ff:ff:ff:ff;90:21:81:a6:cf:cc;Shanghai Huaqin Telecom Technology Co.,Ltd;0;-91;8;3218;2432;;;[0, 1, 50, 127, 221, 221];[20722, 5271450];0.0
2024-03-15 12:31:23.385812;ff:ff:ff:ff:ff:ff;90:21:81:a6:cf:cc;Shanghai Huaqin Telecom Technology Co.,Ltd;0;-93;9;3219;2432;;;[0, 1, 50, 127, 221, 221];[20722, 5271450];0.0
2024-03-15 12:31:24.778865;ff:ff:ff:ff:ff:ff;04:d3:b0:e9:d5:96;Intel Corporate;0;-89;10;2156;2462;;;[0, 1, 50, 45, 127, 221];[5271450];0.0
2024-03-15 12:31:37.119044;ff:ff:ff:ff:ff:ff;52:b7:1c:11:95:fa;;1;-89;11;954;2432;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0
2024-03-15 12:32:28.148313;ff:ff:ff:ff:ff:ff;04:ea:56:39:c1:7a;Intel Corporate;0;-93;12;596;2422;;;[0, 1, 50, 45, 127, 221];[5271450];0.0
2024-03-15 12:33:08.528115;ff:ff:ff:ff:ff:ff;52:b7:1c:11:95:fa;;1;-82;13;983;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0
2024-03-15 12:33:35.788995;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-83;14;2831;2422;;SSID_56211587;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:33:42.542580;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-75;15;1414;2437;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:33:42.569548;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-72;16;1416;2437;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:33:42.570238;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-72;17;1417;2437;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:33:42.616110;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-71;18;1418;2442;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:33:42.616789;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-72;19;1419;2442;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:33:42.830466;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-86;20;1426;2462;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:07.386351;ff:ff:ff:ff:ff:ff;a2:9d:0f:19:3e:36;;1;-87;21;2720;2442;;;[0, 1, 50, 3, 45, 127, 191, 221];[20722];0.0
2024-03-15 12:34:10.950578;ff:ff:ff:ff:ff:ff;da:a1:19:eb:aa:ab;Google, Inc.;1;-78;22;1661;2417;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 221];[20722, 5271450];0.0
2024-03-15 12:34:11.006992;ff:ff:ff:ff:ff:ff;da:a1:19:eb:aa:ab;Google, Inc.;1;-76;23;1663;2422;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 221];[20722, 5271450];0.0
2024-03-15 12:34:12.850388;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-80;24;2848;2442;;SSID_56211587;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:12.851137;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-81;25;2849;2442;;SSID_56211587;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:26.910953;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-81;26;2870;2417;;SSID_56211587;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:26.911702;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-82;27;2871;2417;;SSID_56211587;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:26.968915;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-88;28;2872;2422;;SSID_56211587;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:26.969632;ff:ff:ff:ff:ff:ff;b6:d4:a6:d9:83:e2;;1;-88;29;2873;2422;;SSID_56211587;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:28.219770;ff:ff:ff:ff:ff:ff;04:ea:56:39:c1:7a;Intel Corporate;0;-91;30;645;2437;;;[0, 1, 50, 45, 127, 221];[5271450];0.0
2024-03-15 12:34:34.473460;ff:ff:ff:ff:ff:ff;10:2c:6b:14:fe:ad;AMPAK Technology, Inc.;0;-93;31;419;2457;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
2024-03-15 12:34:40.367459;ff:ff:ff:ff:ff:ff;32:f6:45:5a:de:84;;1;-71;32;3224;2442;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:40.410139;ff:ff:ff:ff:ff:ff;32:f6:45:5a:de:84;;1;-75;33;3225;2447;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:40.410848;ff:ff:ff:ff:ff:ff;32:f6:45:5a:de:84;;1;-74;34;3226;2447;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:40.522442;ff:ff:ff:ff:ff:ff;32:f6:45:5a:de:84;;1;-85;35;3231;2457;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:40.523141;ff:ff:ff:ff:ff:ff;32:f6:45:5a:de:84;;1;-86;36;3232;2457;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:40.545575;ff:ff:ff:ff:ff:ff;32:f6:45:5a:de:84;;1;-86;37;3233;2462;;;[0, 1, 50, 221, 3];[20722];0.0
2024-03-15 12:34:46.659584;ff:ff:ff:ff:ff:ff;dc:a6:32:eb:59:4d;Raspberry Pi Trading Ltd;0;-80;38;1700;2462;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];0.0
