datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2024-03-22 11:39:39.220060;ff:ff:ff:ff:ff:ff;0c:b8:15:f9:8e:0e;Espressif Inc.;0;-72;0;6;2442;;SSID_28696760;[0, 1, 50];[];nan
2024-03-22 11:39:40.314841;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-88;1;2641;2442;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];nan
2024-03-22 11:39:40.356869;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-88;2;2643;2447;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];nan
2024-03-22 11:39:40.399108;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-90;3;2645;2452;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];nan
2024-03-22 11:39:40.419361;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-91;4;2646;2452;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];nan
2024-03-22 11:39:40.440048;ff:ff:ff:ff:ff:ff;e4:5f:01:f8:66:70;Raspberry Pi Trading Ltd;0;-92;5;2647;2457;;;[0, 1, 50, 3, 45, 127, 221, 221];[20722, 4120];nan
2024-03-22 11:40:46.841746;ff:ff:ff:ff:ff:ff;16:2f:8d:26:12:06;;1;-79;6;868;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];0.0
2024-03-22 11:40:46.862750;ff:ff:ff:ff:ff:ff;16:2f:8d:26:12:06;;1;-79;7;869;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];0.0
2024-03-22 11:41:24.786118;ff:ff:ff:ff:ff:ff;32:5d:8c:bf:bc:20;;1;-92;8;3620;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0
2024-03-22 11:41:32.286141;ff:ff:ff:ff:ff:ff;a4:55:90:cc:76:c7;Xiaomi Communications Co Ltd;0;-63;9;1806;2422;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-03-22 11:41:38.981643;ff:ff:ff:ff:ff:ff;82:e9:29:b8:21:63;;1;-93;10;3582;2432;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0
2024-03-22 11:41:39.145634;ff:ff:ff:ff:ff:ff;82:e9:29:b8:21:63;;1;-86;11;3591;2447;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0
2024-03-22 11:41:39.148372;ff:ff:ff:ff:ff:ff;82:e9:29:b8:21:63;;1;-85;12;3592;2447;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0
2024-03-22 11:41:39.931139;ff:ff:ff:ff:ff:ff;a4:55:90:cc:76:c7;Xiaomi Communications Co Ltd;0;-76;13;1818;2417;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-03-22 11:41:39.933213;ff:ff:ff:ff:ff:ff;a4:55:90:cc:76:c7;Xiaomi Communications Co Ltd;0;-76;14;1819;2417;;SSID_24078883;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-03-22 11:41:39.936841;ff:ff:ff:ff:ff:ff;a4:55:90:cc:76:c7;Xiaomi Communications Co Ltd;0;-76;15;1820;2417;;SSID_92291743;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-03-22 11:41:39.955573;ff:ff:ff:ff:ff:ff;a4:55:90:cc:76:c7;Xiaomi Communications Co Ltd;0;-75;16;1822;2417;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0
2024-03-22 11:42:01.438302;ff:ff:ff:ff:ff:ff;04:ea:56:39:c1:7a;Intel Corporate;0;-94;17;3316;2422;;;[0, 1, 50, 45, 127, 221];[5271450];0.0
2024-03-22 11:42:48.521616;ff:ff:ff:ff:ff:ff;72:ab:c0:87:05:b1;;1;-75;18;740;2452;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0
2024-03-22 11:42:48.563702;ff:ff:ff:ff:ff:ff;72:ab:c0:87:05:b1;;1;-75;19;742;2457;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0
2024-03-22 11:42:48.611724;ff:ff:ff:ff:ff:ff;72:ab:c0:87:05:b1;;1;-77;20;744;2462;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0
2024-03-22 11:42:48.633012;ff:ff:ff:ff:ff:ff;72:ab:c0:87:05:b1;;1;-76;21;745;2462;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0
