datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;truth
2024-02-15 15:02:51.191516;ff:ff:ff:ff:ff:ff;dc:fb:48:8c:71:fc;Intel Corporate;0;-55;0;1786;2462;;;[0, 1, 50, 45, 127, 221];[5271450];nan
2024-02-15 15:02:51.200499;ff:ff:ff:ff:ff:ff;dc:fb:48:8c:71:fc;Intel Corporate;0;-51;1;1787;2462;;;[0, 1, 50, 45, 127, 221];[5271450];nan
2024-02-15 15:02:51.763654;ff:ff:ff:ff:ff:ff;96:51:c6:82:f8:38;;1;-89;2;759;2417;;;[0, 1, 50, 3, 45, 127, 255];[];nan
2024-02-15 15:02:53.948910;ff:ff:ff:ff:ff:ff;06:d6:4b:eb:fc:8d;;1;-88;3;2244;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];nan
2024-02-15 15:02:54.320598;ff:ff:ff:ff:ff:ff;1a:5f:2e:1f:da:c0;;1;-71;4;3937;2452;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];nan
2024-02-15 15:02:54.330802;ff:ff:ff:ff:ff:ff;1a:5f:2e:1f:da:c0;;1;-70;5;3938;2452;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];nan
2024-02-15 15:02:54.445296;ff:ff:ff:ff:ff:ff;40:ec:99:f9:34:a6;Intel Corporate;0;-61;6;19;2462;;;[0, 1, 50, 45, 127, 221];[5271450];nan
2024-02-15 15:02:54.454093;ff:ff:ff:ff:ff:ff;1a:5f:2e:1f:da:c0;;1;-82;7;3945;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];nan
2024-02-15 15:02:54.465046;ff:ff:ff:ff:ff:ff;1a:5f:2e:1f:da:c0;;1;-82;8;3946;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];nan
2024-02-15 15:02:54.469259;ff:ff:ff:ff:ff:ff;40:ec:99:f9:34:a6;Intel Corporate;0;-59;9;20;2462;;;[0, 1, 50, 45, 127, 221];[5271450];nan
2024-02-15 15:02:56.824939;ff:ff:ff:ff:ff:ff;0c:b8:15:f9:8e:0e;Espressif Inc.;0;-69;10;3;2427;;SSID_28696760;[0, 1, 50];[];nan
2024-02-15 15:02:56.945766;ff:ff:ff:ff:ff:ff;0c:b8:15:f9:8e:0e;Espressif Inc.;0;-61;11;4;2437;;SSID_28696760;[0, 1, 50];[];nan
2024-02-15 15:02:57.521714;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-49;12;598;2442;;;[0, 1, 50, 45, 127, 221];[5271450];nan
2024-02-15 15:02:57.538929;ff:ff:ff:ff:ff:ff;dc:fb:48:00:51:90;Intel Corporate;0;-54;13;599;2442;;;[0, 1, 50, 45, 127, 221];[5271450];nan
2024-02-15 15:02:58.452469;ff:ff:ff:ff:ff:ff;5a:6d:ec:89:87:5e;;1;-80;14;2865;2427;;;[0, 1, 50, 3, 45, 127, 255, 255, 221, 221, 221, 221];[36940, 20722, 4120, 5271450];nan
