datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;truth
2024-02-29 14:57:15.425964;ff:ff:ff:ff:ff:ff;e2:65:6e:66:8b:e1;;1;-81;0;856;2427;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:15.486091;ff:ff:ff:ff:ff:ff;e2:65:6e:66:8b:e1;;1;-83;1;858;2432;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:15.548128;ff:ff:ff:ff:ff:ff;e2:65:6e:66:8b:e1;;1;-83;2;860;2437;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:18.447850;ff:ff:ff:ff:ff:ff;8e:1e:1b:b8:f9:6b;;1;-90;3;2140;2452;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:18.475932;ff:ff:ff:ff:ff:ff;8e:1e:1b:b8:f9:6b;;1;-89;4;2142;2457;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:18.664115;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-72;5;1950;2417;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:18.685068;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-72;6;1951;2422;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:18.705207;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-73;7;1952;2422;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:19.760084;ff:ff:ff:ff:ff:ff;1a:49:29:7f:da:34;;1;-74;8;657;2417;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:21.202099;ff:ff:ff:ff:ff:ff;68:ec:c5:24:03:44;Intel Corporate;0;-83;9;1971;2452;;;[0, 1, 50, 45];[];5.0
2024-02-29 14:57:21.217684;ff:ff:ff:ff:ff:ff;68:ec:c5:24:03:44;Intel Corporate;0;-83;10;1972;2457;;;[0, 1, 50, 45];[];5.0
2024-02-29 14:57:22.092446;ff:ff:ff:ff:ff:ff;8e:1e:1b:b8:f9:6b;;1;-91;11;2235;2432;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:22.095744;ff:ff:ff:ff:ff:ff;8e:1e:1b:b8:f9:6b;;1;-91;12;2236;2432;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:24.286195;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-74;13;1299;2432;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:24.419179;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-76;14;1305;2447;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:24.438051;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-75;15;1306;2447;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:24.458725;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-76;16;1307;2447;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:24.510128;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-74;17;1308;2452;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];5.0
2024-02-29 14:57:25.481844;ff:ff:ff:ff:ff:ff;40:ec:99:8e:3f:63;Intel Corporate;0;-52;18;2476;2442;;;[0, 1, 50, 45, 127, 221];[5271450];5.0
2024-02-29 14:57:25.645832;ff:ff:ff:ff:ff:ff;40:ec:99:8e:3f:63;Intel Corporate;0;-61;19;2484;2457;;;[0, 1, 50, 45, 127, 221];[5271450];5.0
2024-02-29 14:57:25.660533;ff:ff:ff:ff:ff:ff;40:ec:99:8e:3f:63;Intel Corporate;0;-53;20;2485;2457;;;[0, 1, 50, 45, 127, 221];[5271450];5.0
2024-02-29 14:57:25.680455;ff:ff:ff:ff:ff:ff;40:ec:99:8e:3f:63;Intel Corporate;0;-51;21;2486;2462;;;[0, 1, 50, 45, 127, 221];[5271450];5.0
