datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2023-09-01 00:03:25.802048;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-89;0;256;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:03:39.582527;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-89;1;266;2422;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:03:46.262803;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;2;270;2432;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:03:52.931039;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-91;3;273;2437;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:03:57.115172;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-90;4;257;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:03:58.263826;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-88;5;266;2422;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:04:12.487737;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-90;6;279;2462;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:04:28.935254;ff:ff:ff:ff:ff:ff;ea:61:dd:7e:20:ba;;1;-95;7;338;2462;;SSID_86693628;[0, 1, 50, 3, 45, 127, 107];[];0.0
2023-09-01 00:04:28.936797;ff:ff:ff:ff:ff:ff;ea:61:dd:7e:20:ba;;1;-93;8;339;2462;;;[0, 1, 50, 3, 45, 127, 107];[];0.0
2023-09-01 00:04:36.360641;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;9;273;2437;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:04:37.216709;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-90;10;278;2462;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:03.690290;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-89;11;257;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:04.817712;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-88;12;266;2422;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:18.438223;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;13;279;2462;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:21.810338;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-86;14;256;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:22.070327;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-88;15;258;2442;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:27.886560;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-87;16;256;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:29.746636;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-90;17;272;2437;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:30.522645;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-91;18;279;2462;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:33.946808;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-89;19;257;2417;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:05:40.211010;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;20;258;2442;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:06:00.163769;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-92;21;276;2457;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:06:05.449175;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-93;22;270;2432;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:06:06.307991;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-90;23;278;2462;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
2023-09-01 00:06:36.777326;ff:ff:ff:ff:ff:ff;94:04:9c:cd:b7:50;HUAWEI TECHNOLOGIES CO.,LTD;0;-93;24;270;2432;;SSID_97792324;[0, 1, 50, 45, 51, 127];[];0.0
